Country,Year,Month,Name Of The Service Area Having Telephone Connections,"Total Telephone Connections  (UOM:Number), Scaling Factor:1000000"
India,"Calendar Year (Jan - Dec), 2023","June, 2023",Delhi,58.39
India,"Calendar Year (Jan - Dec), 2023","June, 2023",Mumbai,37.23
India,"Calendar Year (Jan - Dec), 2023","May, 2023",Andhra Pradesh,85.17
India,"Calendar Year (Jan - Dec), 2023","May, 2023",Assam,25.49
India,"Calendar Year (Jan - Dec), 2023","May, 2023",Bihar,92.76
India,"Calendar Year (Jan - Dec), 2023","May, 2023",Gujarat,67.56
India,"Calendar Year (Jan - Dec), 2023","May, 2023",Haryana,26.96
India,"Calendar Year (Jan - Dec), 2023","May, 2023",Himachal Pradesh,8.93
India,"Calendar Year (Jan - Dec), 2023","May, 2023",Jammu & Kashmir,12.49
India,"Calendar Year (Jan - Dec), 2023","May, 2023",Karnataka,68.59
India,"Calendar Year (Jan - Dec), 2023","May, 2023",Kerala,43.59
India,"Calendar Year (Jan - Dec), 2023","May, 2023",Madhya Pradesh,78.36
India,"Calendar Year (Jan - Dec), 2023","May, 2023",Maharashtra,92.96
India,"Calendar Year (Jan - Dec), 2023","May, 2023",North East,12.57
India,"Calendar Year (Jan - Dec), 2023","May, 2023",Odisha,33.74
India,"Calendar Year (Jan - Dec), 2023","May, 2023",Punjab,36.61
India,"Calendar Year (Jan - Dec), 2023","May, 2023",Rajasthan,64.81
India,"Calendar Year (Jan - Dec), 2023","May, 2023",Tamil Nadu,80.62
India,"Calendar Year (Jan - Dec), 2023","May, 2023",Uttar Pradesh (East),100.33
India,"Calendar Year (Jan - Dec), 2023","May, 2023",Uttar Pradesh (West),63.18
India,"Calendar Year (Jan - Dec), 2023","May, 2023",West Bengal,56.85
India,"Calendar Year (Jan - Dec), 2023","May, 2023",Kolkata,24.88
India,"Calendar Year (Jan - Dec), 2023","May, 2023",Delhi,58.38
India,"Calendar Year (Jan - Dec), 2023","May, 2023",Mumbai,37.4
India,"Calendar Year (Jan - Dec), 2023","April, 2023",Andhra Pradesh,85.04
India,"Calendar Year (Jan - Dec), 2023","April, 2023",Assam,25.43
India,"Calendar Year (Jan - Dec), 2023","April, 2023",Bihar,92.48
India,"Calendar Year (Jan - Dec), 2023","April, 2023",Gujarat,67.62
India,"Calendar Year (Jan - Dec), 2023","April, 2023",Haryana,27.04
India,"Calendar Year (Jan - Dec), 2023","April, 2023",Himachal Pradesh,8.91
India,"Calendar Year (Jan - Dec), 2023","April, 2023",Jammu & Kashmir,12.4
India,"Calendar Year (Jan - Dec), 2023","April, 2023",Karnataka,68.81
India,"Calendar Year (Jan - Dec), 2023","April, 2023",Kerala,43.64
India,"Calendar Year (Jan - Dec), 2023","April, 2023",Madhya Pradesh,78.24
India,"Calendar Year (Jan - Dec), 2023","April, 2023",Maharashtra,92.93
India,"Calendar Year (Jan - Dec), 2023","April, 2023",North East,12.57
India,"Calendar Year (Jan - Dec), 2023","April, 2023",Odisha,33.63
India,"Calendar Year (Jan - Dec), 2023","April, 2023",Punjab,36.69
India,"Calendar Year (Jan - Dec), 2023","April, 2023",Rajasthan,64.59
India,"Calendar Year (Jan - Dec), 2023","April, 2023",Tamil Nadu,81.3
India,"Calendar Year (Jan - Dec), 2023","April, 2023",Uttar Pradesh (East),100.41
India,"Calendar Year (Jan - Dec), 2023","April, 2023",Uttar Pradesh (West),63.07
India,"Calendar Year (Jan - Dec), 2023","April, 2023",West Bengal,56.98
India,"Calendar Year (Jan - Dec), 2023","April, 2023",Kolkata,24.95
India,"Calendar Year (Jan - Dec), 2023","April, 2023",Delhi,58.53
India,"Calendar Year (Jan - Dec), 2023","April, 2023",Mumbai,37.24
India,"Calendar Year (Jan - Dec), 2023","March, 2023",Andhra Pradesh,84.91
India,"Calendar Year (Jan - Dec), 2023","March, 2023",Assam,25.28
India,"Calendar Year (Jan - Dec), 2023","March, 2023",Bihar,91.92
India,"Calendar Year (Jan - Dec), 2023","March, 2023",Gujarat,67.44
India,"Calendar Year (Jan - Dec), 2023","March, 2023",Haryana,27.1
India,"Calendar Year (Jan - Dec), 2023","March, 2023",Himachal Pradesh,8.94
India,"Calendar Year (Jan - Dec), 2023","March, 2023",Jammu & Kashmir,12.37
